facility_group,mode,Tr,origin_id,AF_k,P_i_x,id,Project_name,Type,Address,No_of_units,No_of_residents,Latitude,Longitude,Remarks,P_i_y
Pri,driving,15,H_026,1.966519869651376,281.0,H_026,"“James’ Concourse” at Yen Chow Street , Sham Shui Po",Completed Projects (Newly-built Projects),"1A Yen Chow Street, Sham Shui Po",281,509.0,22.328024080026637,114.15730908292618,,281.0
Pri,driving,15,H_027,3.1454794121837875,132.0,H_027,"“Shun Ting Terraced Home” at Cheung Shun Street, Cheung Sha Wan",Completed Projects (Newly-built Projects),915 Cheung Sha Wan Road,132,388.0,22.336261035442227,114.1456682441262,,132.0
Pri,driving,15,H_028,1.9529867154491458,227.0,H_028,“Ho Yuet Home” at Wong Tai Sin Road,Completed Projects (Newly-built Projects),"Ho Yuet Home, Wong Tai Sin Road",227,612.0,22.34275843590141,114.19448653364658,,227.0
Pri,driving,15,H_029,0.537846185927572,519.0,H_029,"“T-Loft@Kai Tak” at Muk On Street, Kai Tak",Completed Projects (Newly-built Projects),"12 Muk On Street, Kai Tak",519,1460.0,22.329988253500552,114.20206677006496,,519.0
Pri,driving,15,H_030,2.912208322908181,329.0,H_030,"“LST Housing” at Choi Hing Road, Ngau Tau Kok",Completed Projects (Newly-built Projects),"21 Choi Hing Road, Ngau Tau Kok, Kowloon",329,774.0,22.33168510104312,114.21740112685418,,329.0
Pri,driving,30,H_001,1.9801660684086888,18.0,H_001,“Joyard” Transitional Housing Project at Hung Hom,Completed Projects (Projects in Existing Residential Buildings),"5/F and 6/F, Sheng Kung Hui Holy Carpenter Church & Community Centre, 1 Dyer Avenue, Hung Hom",18,41.0,22.307562811028166,114.1878114768805,,18.0
Pri,driving,30,H_002,1.93639833308125,9.0,H_002,"Lai Chi Kok Road, Tai Kok Tsui",Completed Projects (Projects in Existing Residential Buildings),421 Lai Chi Kok Road,9,20.7,22.33060808403042,114.1579704527733,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",9.0
Pri,driving,30,H_003,2.0903500237732793,49.0,H_003,"“James’ Court” at Soy Street, Mong Kok",Completed Projects (Projects in Existing Residential Buildings),"20 Soy Street, Mong Kok",49,112.7,22.31692548934092,114.16980854107668,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",49.0
Pri,driving,30,H_004,2.157970944803553,53.0,H_004,"“Home Plus” at Ha Heung Road, To Kwa Wan",Completed Projects (Projects in Existing Residential Buildings),"79 Ha Heung Road, To Kwa Wan",53,121.9,22.31796718527946,114.18925605559144,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",53.0
Pri,driving,30,H_005,2.0553788894253993,60.0,H_005,“Good Homes” at To Kwa Wan Road,Completed Projects (Projects in Existing Residential Buildings),76 To Kwa Wan Road,60,138.0,22.31642384826867,114.18941895047124,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",60.0
Pri,driving,30,H_006,2.0219477811294837,15.0,H_006,"Castle Peak Road, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),215 Castle Peak Rd,15,34.5,22.33644998481309,114.15865146899498,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",15.0
Pri,driving,30,H_007,1.8026524922149583,25.0,H_007,"“Happiness x Home Community” at Kim Shin Lane, Cheung Sha Wan",Completed Projects (Projects in Existing Residential Buildings),20 Kim Shin Lane,25,57.5,22.33930340959037,114.15272227081876,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",25.0
Pri,driving,30,H_008,1.794171850030639,24.0,H_008,“Friend Home” at Tai Kok Tsui,Completed Projects (Projects in Existing Residential Buildings),113 Tai Kok Tsui Road,24,55.2,22.321657041487025,114.16180624776824,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",24.0
Pri,driving,30,H_009,2.0695596808767087,1.0,H_009,"Tai Nam Street, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),331 Tai Nan Street,1,2.3,22.32947172,114.16040108226962,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,30,H_010,2.173794030650542,1.0,H_010,"Ta Po Road, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),292 Tai Po Road,1,2.3,22.33545309541217,114.16282786556953,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,30,H_011,1.8618196752776817,1.0,H_011,"Nathan Road, Yau Ma Tei",Completed Projects (Projects in Existing Residential Buildings),487 Nathan Road,1,2.3,22.311885702210223,114.17078088202784,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,30,H_012,1.9336792514484349,1.0,H_012,"Yee Cheong Building, Ka Lok Street, Kwun Tong",Completed Projects (Projects in Existing Residential Buildings),14 Ka Lok Street,1,2.3,22.31637282593241,114.2254549526174,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,30,H_013,2.0640761820369935,1.0,H_013,"Pitt Street, Yau Ma Tei",Completed Projects (Projects in Existing Residential Buildings),Pitt Street,1,2.3,22.313867679723323,114.1698469609384,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,30,H_014,2.137139104721806,14.0,H_014,"“Co-Living” at James’ House, Soy Street, Mong Kok",Completed Projects (Projects in Existing Residential Buildings),15 Soy Street,14,32.2,22.316582563903157,114.16907720145493,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",14.0
Pri,driving,30,H_015,2.205274728661086,88.0,H_015,"“LST Housing” at Fuk Lo Tsun Road, Kowloon City; Nam Kok Road, Kowloon City; Lok Shan Road, To Kwa Wan and Liberty Avenue, Ho Man Tin",Completed Projects (Projects in Existing Residential Buildings),Nam Kok Road,88,202.4,22.32961978,114.18985947558122,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",88.0
Pri,driving,30,H_016,2.037872846003447,2.0,H_016,Mongkok,Completed Projects (Projects in Existing Residential Buildings),689 Nathan Road,2,4.6,22.32005071095241,114.16912021746104,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",2.0
Pri,driving,30,H_017,2.1519263593820708,71.0,H_017,Kwun Tong Garden Estate,Completed Projects (Projects in Existing Residential Buildings),"Garden Estate, Kwun Tong",71,163.3,22.316677404066343,114.21899436832192,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",71.0
Pri,driving,30,H_018,2.307082765088007,38.0,H_018,Chun Seen Mei Chuen,Completed Projects (Projects in Existing Residential Buildings),Chun Seen Mei Chuen Chi Seen Lau,38,87.4,22.325635630870785,114.18796801613792,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",38.0
Pri,driving,30,H_019,2.216236326984982,51.0,H_019,Completed Projects (Conversion of Non-residential Buildings),Completed Projects (Conversion of Non-residential Buildings),"63 Lung Kong Road, Kowloon City",51,168.0,22.33032199307013,114.19034887757957,,51.0
Pri,driving,30,H_020,2.1305986235701972,31.0,H_020,“James’ Garden” at Junction of Chatham Road North and Hok Yuen Street,Completed Projects (Conversion of Non-residential Buildings),23 Hok Yuen Street,31,106.0,22.31072233466476,114.18587989386256,,31.0
Pri,driving,30,H_021,1.949619261225836,89.0,H_021,“Nam Cheong 220”,Completed Projects (Newly-built Projects),23 Nam Cheong Street,89,162.0,22.327120276803647,114.16081692017994,,89.0
Pri,driving,30,H_022,2.1544711930785714,721.0,H_022,"“Kai Fook Kui” at Area 1B3, Muk On Street, Kai Tak",Completed Projects (Newly-built Projects),"Area 1B3, Muk On Street, Kai Tak",721,1600.0,22.328115501531983,114.20307349480436,,721.0
Pri,driving,30,H_023,2.2225484442374794,491.0,H_023,"“Good Mansion” at Hung Lok Road, Hung Hom",Completed Projects (Newly-built Projects),"9 Hung Lok Road, Hung Hom",491,1090.0,22.30289399310305,114.18565087987363,,491.0
Pri,driving,30,H_024,2.256028455837982,110.0,H_024,"“LST Housing” at Sung Wong Toi Road, To Kwa Wan",Completed Projects (Newly-built Projects),"Sung Wong Toi Road, To Kwa Wan",110,220.0,22.322230800604657,114.19413509544434,,110.0
Pri,driving,30,H_025,2.075909072988778,140.0,H_025,"“Tenacity Residence” at Ying Wa Street, Cheung Sha Wan",Completed Projects (Newly-built Projects),6 Ying Wa Street,140,400.0,22.33089430937634,114.15261119339247,,140.0
Pri,driving,30,H_026,1.9400090212539625,281.0,H_026,"“James’ Concourse” at Yen Chow Street , Sham Shui Po",Completed Projects (Newly-built Projects),"1A Yen Chow Street, Sham Shui Po",281,509.0,22.328024080026637,114.15730908292618,,281.0
Pri,driving,30,H_027,2.1138474792356194,132.0,H_027,"“Shun Ting Terraced Home” at Cheung Shun Street, Cheung Sha Wan",Completed Projects (Newly-built Projects),915 Cheung Sha Wan Road,132,388.0,22.336261035442227,114.1456682441262,,132.0
Pri,driving,30,H_028,1.8899410912754075,227.0,H_028,“Ho Yuet Home” at Wong Tai Sin Road,Completed Projects (Newly-built Projects),"Ho Yuet Home, Wong Tai Sin Road",227,612.0,22.34275843590141,114.19448653364658,,227.0
Pri,driving,30,H_029,1.8412061398769703,519.0,H_029,"“T-Loft@Kai Tak” at Muk On Street, Kai Tak",Completed Projects (Newly-built Projects),"12 Muk On Street, Kai Tak",519,1460.0,22.329988253500552,114.20206677006496,,519.0
Pri,driving,30,H_030,2.1760837554978973,329.0,H_030,"“LST Housing” at Choi Hing Road, Ngau Tau Kok",Completed Projects (Newly-built Projects),"21 Choi Hing Road, Ngau Tau Kok, Kowloon",329,774.0,22.33168510104312,114.21740112685418,,329.0
Pri,driving,60,H_001,2.0558354735489917,18.0,H_001,“Joyard” Transitional Housing Project at Hung Hom,Completed Projects (Projects in Existing Residential Buildings),"5/F and 6/F, Sheng Kung Hui Holy Carpenter Church & Community Centre, 1 Dyer Avenue, Hung Hom",18,41.0,22.307562811028166,114.1878114768805,,18.0
Pri,driving,60,H_002,2.0399627020318425,9.0,H_002,"Lai Chi Kok Road, Tai Kok Tsui",Completed Projects (Projects in Existing Residential Buildings),421 Lai Chi Kok Road,9,20.7,22.33060808403042,114.1579704527733,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",9.0
Pri,driving,60,H_003,2.0761628794786593,49.0,H_003,"“James’ Court” at Soy Street, Mong Kok",Completed Projects (Projects in Existing Residential Buildings),"20 Soy Street, Mong Kok",49,112.7,22.31692548934092,114.16980854107668,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",49.0
Pri,driving,60,H_004,2.094232782925096,53.0,H_004,"“Home Plus” at Ha Heung Road, To Kwa Wan",Completed Projects (Projects in Existing Residential Buildings),"79 Ha Heung Road, To Kwa Wan",53,121.9,22.31796718527946,114.18925605559144,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",53.0
Pri,driving,60,H_005,2.072729788173889,60.0,H_005,“Good Homes” at To Kwa Wan Road,Completed Projects (Projects in Existing Residential Buildings),76 To Kwa Wan Road,60,138.0,22.31642384826867,114.18941895047124,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",60.0
Pri,driving,60,H_006,2.056711443266705,15.0,H_006,"Castle Peak Road, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),215 Castle Peak Rd,15,34.5,22.33644998481309,114.15865146899498,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",15.0
Pri,driving,60,H_007,2.008927655934204,25.0,H_007,"“Happiness x Home Community” at Kim Shin Lane, Cheung Sha Wan",Completed Projects (Projects in Existing Residential Buildings),20 Kim Shin Lane,25,57.5,22.33930340959037,114.15272227081876,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",25.0
Pri,driving,60,H_008,2.009953909156328,24.0,H_008,“Friend Home” at Tai Kok Tsui,Completed Projects (Projects in Existing Residential Buildings),113 Tai Kok Tsui Road,24,55.2,22.321657041487025,114.16180624776824,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",24.0
Pri,driving,60,H_009,2.0701165017990997,1.0,H_009,"Tai Nam Street, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),331 Tai Nan Street,1,2.3,22.32947172,114.16040108226962,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,60,H_010,2.09069963770958,1.0,H_010,"Ta Po Road, Sham Shui Po",Completed Projects (Projects in Existing Residential Buildings),292 Tai Po Road,1,2.3,22.33545309541217,114.16282786556953,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,60,H_011,2.0289066806988387,1.0,H_011,"Nathan Road, Yau Ma Tei",Completed Projects (Projects in Existing Residential Buildings),487 Nathan Road,1,2.3,22.311885702210223,114.17078088202784,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,60,H_012,2.04536704031908,1.0,H_012,"Yee Cheong Building, Ka Lok Street, Kwun Tong",Completed Projects (Projects in Existing Residential Buildings),14 Ka Lok Street,1,2.3,22.31637282593241,114.2254549526174,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,60,H_013,2.0718953299331253,1.0,H_013,"Pitt Street, Yau Ma Tei",Completed Projects (Projects in Existing Residential Buildings),Pitt Street,1,2.3,22.313867679723323,114.1698469609384,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",1.0
Pri,driving,60,H_014,2.086249248168624,14.0,H_014,"“Co-Living” at James’ House, Soy Street, Mong Kok",Completed Projects (Projects in Existing Residential Buildings),15 Soy Street,14,32.2,22.316582563903157,114.16907720145493,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",14.0
Pri,driving,60,H_015,2.104082276155844,88.0,H_015,"“LST Housing” at Fuk Lo Tsun Road, Kowloon City; Nam Kok Road, Kowloon City; Lok Shan Road, To Kwa Wan and Liberty Avenue, Ho Man Tin",Completed Projects (Projects in Existing Residential Buildings),Nam Kok Road,88,202.4,22.32961978,114.18985947558122,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",88.0
Pri,driving,60,H_016,2.0649039458643186,2.0,H_016,Mongkok,Completed Projects (Projects in Existing Residential Buildings),689 Nathan Road,2,4.6,22.32005071095241,114.16912021746104,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",2.0
Pri,driving,60,H_017,2.0906506846474167,71.0,H_017,Kwun Tong Garden Estate,Completed Projects (Projects in Existing Residential Buildings),"Garden Estate, Kwun Tong",71,163.3,22.316677404066343,114.21899436832192,"Missing actual no. of residents, estimated by no. of units times average household size for temporary housing in 2025 Q1-Q2 (2.3)",71.0
